group	variable	value	comparison	test	p-value	p-adjusted	sign.symb
		Half-life	Neurite, mESC-Soma, mESC	Tukey post-hoc test for difference in means		6.9736179053592195e-9	***
		Half-life	Nucleus, PCN-Soma, mESC	Tukey post-hoc test for difference in means		6.9736179053592195e-9	***
		Half-life	Soma, PCN-Soma, mESC	Tukey post-hoc test for difference in means		6.9737129404501275e-9	***
		Half-life	Neurite, PCN-Soma, mESC	Tukey post-hoc test for difference in means		6.9736179053592195e-9	***
		Half-life	Nucleus, PCN-Neurite, mESC	Tukey post-hoc test for difference in means		6.9736179053592195e-9	***
		Half-life	Soma, PCN-Neurite, mESC	Tukey post-hoc test for difference in means		6.9736179053592195e-9	***
		Half-life	Neurite, PCN-Neurite, mESC	Tukey post-hoc test for difference in means		2.394679121664467e-8	***
		Half-life	Soma, PCN-Nucleus, PCN	Tukey post-hoc test for difference in means		6.9736656449492784e-9	***
		Half-life	Neurite, PCN-Nucleus, PCN	Tukey post-hoc test for difference in means		6.9736179053592195e-9	***
		Half-life	Neurite, PCN-Soma, PCN	Tukey post-hoc test for difference in means		6.9736179053592195e-9	***
